Comune,Provincia,Regione,Nome,Tipo,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Montevecchia,LECCO,Lombardia,Maria Gaetana Agnesi,"Monumento commemorativo, sacrario",2009,538200822,9.3756182,45.7057216999999
Montichiari,BRESCIA,Lombardia,Ai Caduti sul Lavoro,Monumento,2013,2563224302,10.3943417999999,45.4061412
Montjovet,AOSTA,Valle d'Aosta,R. J. M. Bosonin,"Monumento commemorativo, sacrario",2013,2434879867,7.6696747,45.7245425999999
Montorio Romano,ROMA,Lazio,SS. trinita,"Monumento commemorativo, sacrario",2013,1697465417,12.8259306,42.1411645
Monvalle,VARESE,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,290971675,8.6312737,45.8576593
Monza,MONZA E DELLA BRIANZA,Lombardia,Agli aviatori caduti,"Monumento commemorativo, sacrario",2014,2405924326,9.2709097,45.5815787
Monza,MONZA E DELLA BRIANZA,Lombardia,Crocifisso,"Monumento commemorativo, sacrario",2013,2362304253,9.2749339,45.5834344
Monza,MONZA E DELLA BRIANZA,Lombardia,Juan Manuel Fangio,"Monumento commemorativo, sacrario",2013,2396644394,9.2831195,45.6187535999999
Monza,MONZA E DELLA BRIANZA,Lombardia,Monumento a Giuseppe Garibaldi,"Monumento commemorativo, sacrario",2015,2358901803,9.2776192,45.5849107
Monza,MONZA E DELLA BRIANZA,Lombardia,Monumento a Giuseppe Garibaldi,"Monumento commemorativo, sacrario",2015,2399475940,9.2746549,45.5900937999999
Monza,MONZA E DELLA BRIANZA,Lombardia,Monumento a Vittorio Emanuele II,"Monumento commemorativo, sacrario",2015,2381632353,9.27569669999999,45.5884286
Monza,MONZA E DELLA BRIANZA,Lombardia,Monumento agli Alpini,"Monumento commemorativo, sacrario",2015,1700723053,9.2542741,45.5957238
Monza,MONZA E DELLA BRIANZA,Lombardia,Monumento ai Caduti del Lavoro,"Monumento commemorativo, sacrario",2015,2358901485,9.272489,45.5781788
Monza,MONZA E DELLA BRIANZA,Lombardia,Padre Pio,"Monumento commemorativo, sacrario",2013,2505279805,9.27077899999999,45.5805285
Monza,MONZA E DELLA BRIANZA,Lombardia,San Carlo Borromeo,"Monumento commemorativo, sacrario",2014,2394291800,9.2728716,45.5857243999999
Monza,MONZA E DELLA BRIANZA,Lombardia,San Giacomo Maggiore,"Monumento commemorativo, sacrario",2013,2372503781,9.2820488,45.5842736999999
Monza,MONZA E DELLA BRIANZA,Lombardia,San Michele Arcangelo,"Monumento commemorativo, sacrario",2014,2359092428,9.27409699999999,45.5850373
Monzambano,MANTOVA,Lombardia,Ai Caduti di Nassiriya,Monumento,2014,2669007853,10.6945584,45.3848237999999
Monzambano,MANTOVA,Lombardia,Monumento ai Caduti,Monumento,2014,2668987889,10.6931013,45.3849712
Morano sul Po,ALESSANDRIA,Piemonte,Monumento ai Caduti per la Patria,Monumento,2013,2524093813,8.3665089,45.1976554
Morciano di Leuca,LECCE,Puglia,Statua di San Lorenzo,Monumento,2013,2312163527,18.3266284,39.8632572
Morfasso,PIACENZA,Emilia-Romagna,Monumento ai Caduti,Monumento,2013,2470217057,9.7401891,44.7112184
Morgongiori,ORISTANO,Sardegna,Chiesa di Santa Suia(Sofia),Monumento,2013,2133896170,8.6903056,39.7459418999999
Mori,TRENTO,Trentino-Alto Adige,Monumento ai Caduti,"Monumento commemorativo, sacrario",2014,616567418,10.9701187,45.8388728999999
Mori,TRENTO,Trentino-Alto Adige,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,3407628035,10.9478560999999,45.8635667
Moriago della Battaglia,TREVISO,Veneto,Monumento ai Caduti Prima guerra Mondiale,Monumento,2011,1444364134,12.1055689,45.8423895999999
Motta d'Affermo,MESSINA,Sicilia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2016,3973181005,14.3034441999999,37.9811613999999
Motta Montecorvino,FOGGIA,Puglia,Monumento ai Caduti,Monumento,2010,563897736,15.1129458,41.5076195999999
Motta Sant'Anastasia,CATANIA,Sicilia,Monumento ai Caduti,Monumento,2013,930105496,14.9698496999999,37.5126331
Motteggiana,MANTOVA,Lombardia,Motteggiana,"Monumento commemorativo, sacrario",2015,3297047320,10.6997818,45.0362481
Mottola,TARANTO,Puglia,Ex Sito Jupiter GIOIA DEL COLLE,Monumento,2013,2234017021,16.9329027,40.7400389
Mottola,TARANTO,Puglia,Ex Sito Jupiter MOTTOLA,Monumento,2013,2234706037,17.1033742,40.6785356999999
Mozzecane,VERONA,Veneto,Monumento ai Caduti,Monumento,2014,2821725984,10.8573137,45.3173419
Mozzecane,VERONA,Veneto,Monumento ai Caduti,Monumento,2014,2596042836,10.8171982,45.3085981999999
Mozzecane,VERONA,Veneto,Villa Canossa,Monumento,2013,675007261,10.8627623999999,45.3137857999999
Murialdo,SAVONA,Liguria,Cippo partigiano,"Monumento commemorativo, sacrario",2014,2609113371,8.1467018,44.2906845999999
Musei,CARBONIA IGLESIAS,Sardegna,Monumento ai Caduti,"Monumento commemorativo, sacrario",2012,2013680952,8.6675996,39.3021917
Musile di Piave,VENEZIA,Veneto,Monumento ai Bersaglieri,Monumento,2009,540327995,12.5628479,45.6243176999999
Muzzana del Turgnano,UDINE,Friuli-Venezia Giulia,Monumento ai Caduti,Monumento,2014,2639387273,13.1247878,45.8157155999999
Nago-Torbole,TRENTO,Trentino-Alto Adige,Goethe,"Monumento commemorativo, sacrario",2010,1024752266,10.8764278,45.8692238
Nago-Torbole,TRENTO,Trentino-Alto Adige,Monumento ai Caduti,"Monumento commemorativo, sacrario",2009,402814579,10.8993094,45.8579426
Napoli,NAPOLI,Campania,Character from Greek mythology .,Monumento,2015,3876178545,14.2370734,40.8331746
Napoli,NAPOLI,Campania,Character from Greek mythology .,Monumento,2015,3876193208,14.2377632,40.8329968999999
Napoli,NAPOLI,Campania,Character from Greek mythology .,Monumento,2015,3876193209,14.2377786,40.8328814999999
Napoli,NAPOLI,Campania,Character from Greek mythology .,Monumento,2015,3876193210,14.2374582,40.8328745
Napoli,NAPOLI,Campania,Character from Greek mythology .,Monumento,2015,3876193211,14.2374382,40.8329956999999
Napoli,NAPOLI,Campania,Dante Alighieri,Monumento,2014,2750397908,14.250108,40.8489426
Napoli,NAPOLI,Campania,Domenico Martuscelli,Monumento,2014,3166427553,14.250165,40.8498544999999
Napoli,NAPOLI,Campania,Giuseppe Garibaldi,Monumento,2014,2918993831,14.2677853999999,40.8521624999999
Napoli,NAPOLI,Campania,Greek characters,Monumento,2015,3876206553,14.2364461,40.8332182999999
Napoli,NAPOLI,Campania,Greek characters,Monumento,2015,3876207658,14.2277755999999,40.8324384
Napoli,NAPOLI,Campania,Guglia dell'Immacolata,Monumento,2014,1734229668,14.2516165,40.8470104
Napoli,NAPOLI,Campania,Guglia di San Domenico,Monumento,2014,2761664033,14.254909,40.8484492999999
Napoli,NAPOLI,Campania,Guglia di San Gennaro,Monumento,2015,2217484157,14.2601744,40.8521424999999
Napoli,NAPOLI,Campania,Osservatorio Astronomico,Monumento,2013,1683071156,14.2553719,40.8635341
Napoli,NAPOLI,Campania,Paolo Emilio Imbriani,Monumento,2015,3130932236,14.2427695,40.8513912
Napoli,NAPOLI,Campania,Paul P. Harris,Monumento,2015,3185089692,14.2316021,40.8370245999999
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876158693,14.2406498999999,40.8319108999999
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876171012,14.2406792,40.8320997
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876178454,14.2405583999999,40.8322705
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876178455,14.2405839,40.8324501
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876178557,14.2407424,40.8326072999999
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876178559,14.2407816999999,40.8328637999999
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876178560,14.2407708999999,40.8327752
Napoli,NAPOLI,Campania,Personaggi della mitologia greca,Monumento,2016,3876178562,14.240774,40.8329396
Napoli,NAPOLI,Campania,Porta delle Terme,Monumento,2014,2522260191,14.1710183999999,40.8260906
Napoli,NAPOLI,Campania,Salvo D'Acquisto,Monumento,2014,2554370130,14.2492579,40.844379
Napoli,NAPOLI,Campania,Sigismund Thalberg,Monumento,2015,3876207657,14.2270530999999,40.8323514
Napoli,NAPOLI,Campania,Temple of  Torquato Tasso,Monumento,2015,3876206556,14.2300816,40.8328990999999
Napoli,NAPOLI,Campania,Torre Lupara,Monumento,2012,1588518655,14.1510722,40.8525672
Napoli,NAPOLI,Campania,torre ranieri,Monumento,2010,670417889,14.1948653999999,40.8086168999999
Napoli,NAPOLI,Campania,Vittorio Emanuele II,Monumento,2015,2668453515,14.2554569,40.8436811999999
Napoli,NAPOLI,Campania,Carlo di Borbone,"Monumento commemorativo, sacrario",2015,3636006370,14.2479613,40.8357269999999
Napoli,NAPOLI,Campania,Carlo Poerio,"Monumento commemorativo, sacrario",2015,3468033761,14.2363105999999,40.8340988
Napoli,NAPOLI,Campania,Casa di Antonio De Curtis in arte Toté,"Monumento commemorativo, sacrario",2013,2190824534,14.2522296999999,40.8584377
Napoli,NAPOLI,Campania,Dio Nilo,"Monumento commemorativo, sacrario",2015,1777082761,14.2561924999999,40.8487686
Napoli,NAPOLI,Campania,Ferdinando I,"Monumento commemorativo, sacrario",2015,3636006378,14.2482067,40.8354144999999
Napoli,NAPOLI,Campania,Giovanni Nicotera,"Monumento commemorativo, sacrario",2015,3465094645,14.2412101999999,40.8319593
Napoli,NAPOLI,Campania,Monumento ai Caduti del Mare,"Monumento commemorativo, sacrario",2015,2210392929,14.2412478,40.8314591999999
Napoli,NAPOLI,Campania,Monumento ai Martiri Napoletani,"Monumento commemorativo, sacrario",2015,1941104118,14.2418572999999,40.8341835
Napoli,NAPOLI,Campania,Nicola Amore,"Monumento commemorativo, sacrario",2015,3465094524,14.2413215,40.8326654999999
Napoli,NAPOLI,Campania,Ottaviano Augusto,"Monumento commemorativo, sacrario",2015,3455594752,14.2517295,40.8335757999999
Napoli,NAPOLI,Campania,Simon Bolivar,"Monumento commemorativo, sacrario",2013,2242805079,14.1767284,40.7988989999999
Napoli,NAPOLI,Campania,Umberto I,"Monumento commemorativo, sacrario",2015,2223337620,14.250927,40.831864
Napoli,NAPOLI,Campania,Uomo Vitruviano,"Monumento commemorativo, sacrario",2015,2232486910,14.2821157,40.8565109
Narbolia,ORISTANO,Sardegna,Monumento ai Caduti,Monumento,2012,1577007539,8.5750762,40.0476125
Naturno,BOLZANO,Trentino-Alto Adige,Kriegerdenkmal,"Monumento commemorativo, sacrario",2012,1941749345,11.0029685,46.6510838
Nave,BRESCIA,Lombardia,Monumento agli Alpini,Monumento,2015,3061614309,10.2858274,45.621997
Nave,BRESCIA,Lombardia,Monumento ai Caduti,Monumento,2014,2854020028,10.2870562,45.5859255
Nave,BRESCIA,Lombardia,Monumento ai Caduti,Monumento,2014,2961483759,10.2564068,45.588144
Nave,BRESCIA,Lombardia,ANMIL Nave,"Monumento commemorativo, sacrario",2014,2961483757,10.2844981,45.5875501
Nave,BRESCIA,Lombardia,Augusto Materzanini,"Monumento commemorativo, sacrario",2015,2402894000,10.2830168,45.5797596999999
Nave,BRESCIA,Lombardia,Giuseppe Zanardelli,"Monumento commemorativo, sacrario",2015,3717605953,10.2644889,45.5865146
Nave,BRESCIA,Lombardia,James Franzoni,"Monumento commemorativo, sacrario",2015,3732218127,10.310064,45.5923161999999
Nave,BRESCIA,Lombardia,Necropoli Romana,"Monumento commemorativo, sacrario",2015,3902348258,10.2547739999999,45.5859443
Neirone,GENOVA,Liguria,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,1988155911,9.19080089999999,44.4541523999999
Neoneli,ORISTANO,Sardegna,Monumento ai Caduti,"Monumento commemorativo, sacrario",2014,3243199989,8.94700029999999,40.0644435999999
Neviano degli Arduini,PARMA,Emilia-Romagna,Monumento alla Donne,"Monumento commemorativo, sacrario",2013,2502214066,10.2910805,44.5366501
Nibbiano,PIACENZA,Emilia-Romagna,Monumento ai caduti Seconda Guerra Mondiale,Monumento,2015,3789016656,9.3010316,44.8954402
Niscemi,CALTANISSETTA,Sicilia,Statua del Migrante,Monumento,2013,2194647568,14.3880931,37.1483859
Niscemi,CALTANISSETTA,Sicilia,Statua di Padre Pio,Monumento,2013,766182073,14.3853033,37.1520528
Noale,VENEZIA,Veneto,Monumento al Nuovo Millennio,Monumento,2014,3150638489,12.0677974,45.5532935
Noceto,PARMA,Emilia-Romagna,sculptura,Monumento,2010,980051474,10.1897348999999,44.7900222999999
Nogarole Rocca,VERONA,Veneto,La Rocca,Monumento,2014,2776031689,10.8805637999999,45.2931254
Norcia,PERUGIA,Umbria,Monumento ai Caduti,Monumento,2015,2643611162,13.0928865,42.7932257
Noto,SIRACUSA,Sicilia,Colonna Pizzuta,Monumento,2015,3031908653,15.1024613999999,36.8484959
Noto,SIRACUSA,Sicilia,Porta nazionale,Monumento,2014,472831472,15.0737565,36.8900425
Noto,SIRACUSA,Sicilia,S. Tommaso,Monumento,2013,2464506588,15.0719762,36.8930330999999
Noto,SIRACUSA,Sicilia,a Corrado Avolio,"Monumento commemorativo, sacrario",2014,3058232914,15.0679428,36.8917689
Noto,SIRACUSA,Sicilia,A Mariannina Coffa,"Monumento commemorativo, sacrario",2014,603885233,15.0682734,36.8916779999999
Noto,SIRACUSA,Sicilia,Caduti nella Grande Guerra,"Monumento commemorativo, sacrario",2014,2464506604,15.070236,36.8911919
Noto,SIRACUSA,Sicilia,Vito Puzzo,"Monumento commemorativo, sacrario",2009,593630660,15.0869443,36.9720772
Nova Levante,BOLZANO,Trentino-Alto Adige,Elisabeth Denkmal,"Monumento commemorativo, sacrario",2011,1339483150,11.5560732,46.4297335999999
Nova Levante,BOLZANO,Trentino-Alto Adige,Mitterleger,"Monumento commemorativo, sacrario",2011,1339509912,11.5730647999999,46.3935643
Novafeltria,RIMINI,Emilia-Romagna,Acquila,"Monumento commemorativo, sacrario",2014,3008742854,12.241669,43.9080074
Novafeltria,RIMINI,Emilia-Romagna,Ara sacrificale Torricella,"Monumento commemorativo, sacrario",2013,2491107374,12.272898,43.867649
Novafeltria,RIMINI,Emilia-Romagna,Minerario,"Monumento commemorativo, sacrario",2014,3008742870,12.241068,43.9082604
Novara,NOVARA,Piemonte,Casa Bossi,Monumento,2013,2151623966,8.6177925,45.4490954999999
Novara,NOVARA,Piemonte,Monumento a Cavour,Monumento,2015,3615406206,8.6221755,45.4494528
Novara,NOVARA,Piemonte,Monumento a Costantino Perazzi,Monumento,2015,3617558924,8.6168107,45.4483041
Novara,NOVARA,Piemonte,Monumento a Garibaldi,Monumento,2015,1845077846,8.6238926,45.4506917
Novara,NOVARA,Piemonte,Statua di Carlo Emanuele,Monumento,2012,2043486258,8.6185864,45.4458441
Novara,NOVARA,Piemonte,Caduti delle Guerre Mondiali,"Monumento commemorativo, sacrario",2012,2038050236,8.6195465,45.4462063
Novara,NOVARA,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,2883085858,8.6160663,45.4436006999999
Novara,NOVARA,Piemonte,Monumento ai Martiri di Vignale,"Monumento commemorativo, sacrario",2015,3695566594,8.6131045,45.4785850999999
Noventa Vicentina,VICENZA,Veneto,Monumento ai donatori di Sangue,Monumento,2015,3681800641,11.5425916999999,45.2918335999999
Noventa Vicentina,VICENZA,Veneto,Monumento all'Aereonautica,"Monumento commemorativo, sacrario",2015,3658782103,11.5453012,45.2933747
Noviglio,MILANO,Lombardia,Monumento ai Caduti,Monumento,2015,3595089010,9.07083549999999,45.3578112
Nule,SASSARI,Sardegna,Caduti Sul Lavoro,Monumento,2013,2541194301,9.1919657,40.4636611999999
Numana,ANCONA,Marche,La Torre,Monumento,2013,2532590196,13.6240892,43.5110948
Numana,ANCONA,Marche,Monumento ai Caduti,Monumento,2014,2532653721,13.6215395,43.5135914999999
Numana,ANCONA,Marche,Monumento al Pescatore,Monumento,2013,2532648396,13.6239665,43.5113379
Nuraminis,CAGLIARI,Sardegna,Monte Granatico,Monumento,2013,1904059331,9.0128768,39.4437707
Nus,AOSTA,Valle d'Aosta,Monumento commemorativo eccidio fascista,Monumento,2013,2134739360,7.4763063,45.7421244
Occhiobello,ROVIGO,Veneto,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,728599511,11.5787013,44.9195690999999
Odalengo Piccolo,ALESSANDRIA,Piemonte,Lapide a Cesare Triveri,Monumento,2013,2368403654,8.2099878,45.0822825999999
Oderzo,TREVISO,Veneto,Monumento a Luigi Luzzatti,Monumento,2013,2299736637,12.4926645,45.7814089999999
Oderzo,TREVISO,Veneto,Monumento ai Caduti,Monumento,2013,2301358644,12.4899751,45.7818114
Oderzo,TREVISO,Veneto,Monumento ai Partigiani,Monumento,2013,2301210384,12.4938325999999,45.7857889
Oderzo,TREVISO,Veneto,Monumento ai Trevisani nel Mondo,Monumento,2013,2301015505,12.4965355,45.7798665999999
Oderzo,TREVISO,Veneto,Piazza Grande,Monumento,2013,1413010794,12.4937243,45.7831701
Offida,ASCOLI PICENO,Marche,Monumento ai Caduti,Monumento,2010,672466672,13.6928459,42.9360318
Offida,ASCOLI PICENO,Marche,Monumento alla Merlettaia,Monumento,2010,672463818,13.6930014999999,42.9364284999999
Olcenengo,VERCELLI,Piemonte,Lapide a Pietro Zancardi,"Monumento commemorativo, sacrario",2013,2431629849,8.3085302,45.3654105
Olevano di Lomellina,PAVIA,Lombardia,Castello di Olevano,Monumento,2014,430513305,8.7153094,45.2121853
Olevano di Lomellina,PAVIA,Lombardia,Monumento ai Caduti,Monumento,2014,2690210591,8.71656499999999,45.2145574999999
Olevano sul Tusciano,SALERNO,Campania,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2400948455,15.0225592,40.6576223
Olgiate Olona,VARESE,Lombardia,Al disastro aereo del 1959,"Monumento commemorativo, sacrario",2013,1135557762,8.8929471,45.6270250999999
Olgiate Olona,VARESE,Lombardia,Monumento ai Caduti in mare,"Monumento commemorativo, sacrario",2014,1146144088,8.882376,45.6194837
Omegna,VERBANIA,Piemonte,Capitano Filippo Maria Beltrami,"Monumento commemorativo, sacrario",2009,457506669,8.38944839999999,45.8724487
Orbassano,TORINO,Piemonte,Monumento ai Caduti,Monumento,2009,472346426,7.535567,45.0060413
Orbassano,TORINO,Piemonte,Monumento ai Caduti,Monumento,2009,495374752,7.5319531,45.007941
Orbetello,GROSSETO,Toscana,Colonna Leopoldina,Monumento,2015,3582288493,11.2549629,42.4505371999999
Orco Feglino,SAVONA,Liguria,Memoria ai caduti,"Monumento commemorativo, sacrario",2015,3602653382,8.325169,44.2194600999999
Orio Canavese,TORINO,Piemonte,Giuseppe Ponzetto,"Monumento commemorativo, sacrario",2014,2897288924,7.8629044,45.3285771999999
Orio Litta,LODI,Lombardia,Grangia Benedettina,Monumento,2016,1283892779,9.55411209999999,45.1574955999999
Oriolo Romano,VITERBO,Lazio,Mola del Biscione,Monumento,2015,3743810829,12.0936553,42.1705351
Oristano,ORISTANO,Sardegna,Monumento ai caduti del lavoro,"Monumento commemorativo, sacrario",2015,3309135898,8.58469,39.9023526
Orosei,NUORO,Sardegna,Sa Prejone Vezza (Old Prison),Monumento,2014,2980863446,9.6945493,40.3791762999999
Orta San Giulio,NOVARA,Piemonte,Targa ad Ernesto Ragazzoni,"Monumento commemorativo, sacrario",2014,1837704802,8.4052872,45.7997359
Orta San Giulio,NOVARA,Piemonte,Targa al Generale Gustavo Fara,"Monumento commemorativo, sacrario",2014,1837704803,8.405352,45.7997431
Ortona,CHIETI,Abruzzo,Carro armato,"Monumento commemorativo, sacrario",2014,3060171633,14.3919029999999,42.3309703999999
Ortonovo,LA SPEZIA,Liguria,Mausoleo,Monumento,2015,3359545825,10.0208660999999,44.0615809999999
Orvieto,TERNI,Umbria,Monumento ai Caduti,"Monumento commemorativo, sacrario",2011,1433266361,12.1202527999999,42.720637
Orvieto,TERNI,Umbria,War Cemetery,"Monumento commemorativo, sacrario",2014,3204497787,12.1501959,42.7267559
Orvinio,RIETI,Lazio,Santa Maria del Piano,Monumento,2012,805405190,12.9560029,42.1371788
Osimo,ANCONA,Marche,La Gironda,Monumento,2009,354971207,13.501897,43.4918496
Osimo,ANCONA,Marche,La Porta del Vento,Monumento,2009,357504739,13.4725097,43.4778767
Ospitaletto,BRESCIA,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2012,1132444863,10.0780777,45.554876
Ossago Lodigiano,LODI,Lombardia,Monumento ai Caduti,Monumento,2015,3584352105,9.5377619,45.2439255
Ossimo,BRESCIA,Lombardia,Ferdinando Girelli,"Monumento commemorativo, sacrario",2015,3729951127,10.2113254,45.9774213999999
Ossimo,BRESCIA,Lombardia,Franzoni Antonio,"Monumento commemorativo, sacrario",2015,3791328662,10.2543386,45.9526356
Ossimo,BRESCIA,Lombardia,Piero Franzoni,"Monumento commemorativo, sacrario",2015,3729951129,10.2287848,45.9729164999999
Ossimo,BRESCIA,Lombardia,Zanaglio Giovanna,"Monumento commemorativo, sacrario",2015,3744710533,10.2294237,45.9483642
Ostuni,BRINDISI,Puglia,la masseria,Monumento,2015,1401336921,17.5460056,40.7928563999999
Ostuni,BRINDISI,Puglia,Obelisco di S.Oronzo,Monumento,2015,3689187160,17.5788265999999,40.7319171999999
Otranto,LECCE,Puglia,Menhir di San Giovanni Malcantone,Monumento,2015,3359459762,18.4447681,40.0853220999999
Otranto,LECCE,Puglia,Croce del Papa Giovanni Paolo II,"Monumento commemorativo, sacrario",2013,2376810946,18.5005315999999,40.1385049
Ottana,NUORO,Sardegna,Monumento alle maschere ottanesi Boe e Merdules,Monumento,2013,2427188972,9.0384366,40.2340499
Ottone,PIACENZA,Emilia-Romagna,Madonna,Monumento,2014,2322794469,9.2747829,44.6314921999999
Ovada,ALESSANDRIA,Piemonte,Monumento ai Caduti,Monumento,2012,1679786281,8.6431928,44.6388435
Oviglio,ALESSANDRIA,Piemonte,Monumento ai Caduti,Monumento,2011,1099811816,8.4901562,44.8610808
Ovindoli,L'AQUILA,Abruzzo,monumento dell'Alpino,"Monumento commemorativo, sacrario",2013,2269294679,13.5131090999999,42.1357785
Ozzero,MILANO,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2016,3259025819,8.92258709999999,45.3663531999999
Paderno Dugnano,MILANO,Lombardia,Ai Caduti delle Guerre,"Monumento commemorativo, sacrario",2012,649219376,9.16174,45.56513
Paderno Dugnano,MILANO,Lombardia,Memoriali Prima e Seconda Guerra Mondiale,"Monumento commemorativo, sacrario",2014,656441499,9.15483,45.5816299999999
Padova,PADOVA,Veneto,Camillo Benso Conte di Cavour,"Monumento commemorativo, sacrario",2013,1459072200,11.8779311,45.4081138
Padova,PADOVA,Veneto,La Gatta,"Monumento commemorativo, sacrario",2014,1459081668,11.8769884,45.4082805999999
Padova,PADOVA,Veneto,Liberazione,"Monumento commemorativo, sacrario",2011,1459404946,11.8760633,45.4086754
Padova,PADOVA,Veneto,monumento ai caduti della guerra di Russia,"Monumento commemorativo, sacrario",2015,3647940350,11.8657507,45.3962
Padula,SALERNO,Campania,Joe Petrosino,"Monumento commemorativo, sacrario",2013,2400709125,15.6551434999999,40.3405852
Paitone,BRESCIA,Lombardia,Domenico Faglio,"Monumento commemorativo, sacrario",2015,1416964101,10.3967905999999,45.5607546999999
Palagianello,TARANTO,Puglia,monumento ai caduti di tutte le guerre,Monumento,2014,2957898822,16.9750201999999,40.6117308999999
Palanzano,PARMA,Emilia-Romagna,Croce di Lalatta,"Monumento commemorativo, sacrario",2011,1565505193,10.2042333,44.4583056999999
Palazzolo sull'Oglio,BRESCIA,Lombardia,Ai Carabinieri,Monumento,2012,907959926,9.8900127,45.5988887
Palazzolo sull'Oglio,BRESCIA,Lombardia,Ai Marinai,Monumento,2010,838545023,9.876833,45.5984594
Palazzolo sull'Oglio,BRESCIA,Lombardia,Monumento ai Caduti,Monumento,2011,442044684,9.9210569,45.6135576
Palazzolo sull'Oglio,BRESCIA,Lombardia,Ai Caduti,"Monumento commemorativo, sacrario",2009,492210102,9.8848163,45.5999714
Palazzolo sull'Oglio,BRESCIA,Lombardia,Ai Caduti,"Monumento commemorativo, sacrario",2010,492210144,9.8850792,45.5993757
Palazzolo sull'Oglio,BRESCIA,Lombardia,Ai Martiri delle Foibe Istriane,"Monumento commemorativo, sacrario",2012,442044683,9.91978819999999,45.6123766999999
Palazzolo sull'Oglio,BRESCIA,Lombardia,Al bersaglieri,"Monumento commemorativo, sacrario",2010,492312949,9.8827418,45.5993718
Palazzolo sull'Oglio,BRESCIA,Lombardia,Monumento ai Genieri,"Monumento commemorativo, sacrario",2012,446262952,9.9001175,45.6020601
Palazzolo Vercellese,VERCELLI,Piemonte,Idrovolante in cemento,Monumento,2013,2460479265,8.2334504,45.1801109
Palazzuolo sul Senio,FIRENZE,Toscana,Monumento ai Caduti della Resistenza,"Monumento commemorativo, sacrario",2010,765722926,11.5013383,44.1437719999999
Palermo,PALERMO,Sicilia,Aereo Lockheed F104-S (Starfighter),Monumento,2014,1905792973,13.3483291,38.1047367999999
Palermo,PALERMO,Sicilia,Carlo Cottone,Monumento,2012,2051933089,13.3552526,38.1245391
Palermo,PALERMO,Sicilia,Francesco Crispi,Monumento,2012,2045983481,13.3523864,38.13024
Palermo,PALERMO,Sicilia,L'aquila di Palermo,Monumento,2012,2045983478,13.3518366,38.1300237999999
Palermo,PALERMO,Sicilia,Lapide commemorativa a Pio La Torre e Rosario Di,Monumento,2015,3523879392,13.3402575,38.1049190999999
Palermo,PALERMO,Sicilia,monumento a Giuseppe Garibaldi,Monumento,2012,2045972393,13.3509499999999,38.1314427
Palermo,PALERMO,Sicilia,Palchetto  della musica,Monumento,2015,3385093324,13.3730138,38.1174157
Palermo,PALERMO,Sicilia,Ruggero Settimo,Monumento,2013,2142823878,13.3559819,38.1248818999999
Palermo,PALERMO,Sicilia,Villa Pandolfina (Ingresso),Monumento,2015,3517428215,13.3060313,38.1129991999999
Palermo,PALERMO,Sicilia,Francesco Paolo Perez,"Monumento commemorativo, sacrario",2014,2412194669,13.3678294,38.1093917999999
Palermo,PALERMO,Sicilia,Monumento al cinquantenario della liberazione di,"Monumento commemorativo, sacrario",2015,2595735306,13.3420707,38.1456001999999
Palermo,PALERMO,Sicilia,Sant'Orsola,"Monumento commemorativo, sacrario",2012,2012998436,13.3616519,38.099868
Palermo,PALERMO,Sicilia,Strage di via D'Amelio,"Monumento commemorativo, sacrario",2015,2972101130,13.3547265999999,38.1430322
Palestrina,ROMA,Lazio,Monumento a Giovanni Pierluigi da Palestrina,Monumento,2013,2025453566,12.8924833,41.8389552
Palestrina,ROMA,Lazio,Monumento ai Caduti,Monumento,2012,2052545863,12.8955081,41.8385494999999
Palestrina,ROMA,Lazio,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2444236333,12.8255336,41.7911436999999
Palestro,PAVIA,Lombardia,Caduti della Prima Guerra Mondiale (1915 - 1918),"Monumento commemorativo, sacrario",2012,1212013678,8.5239586,45.3033367
Palmanova,UDINE,Friuli-Venezia Giulia,Cippo in memoria del Cap. Valentino Iansa della,"Monumento commemorativo, sacrario",2014,2852776273,13.3085407,45.9014375
Palmariggi,LECCE,Puglia,Menhir Montevergine n. 2,Monumento,2015,3621644403,18.3906117999999,40.1377785
Palmariggi,LECCE,Puglia,Obelisco Madonna di Montevergine,Monumento,2012,1893961615,18.3947124,40.1407851
Palmi,REGGIO CALABRIA,Calabria,Madonna con bambino,Monumento,2014,3170108862,15.8624458,38.3859442999999
